,reg point,date,volume,coverage
0,89007V625589,2021-08-01T00:00:00+02:00,4397,100.0
1,89007V625589,2021-08-02T00:00:00+02:00,7406,100.0
2,89007V625589,2021-08-03T00:00:00+02:00,7214,100.0
3,89007V625589,2021-08-04T00:00:00+02:00,7400,100.0
4,89007V625589,2021-08-05T00:00:00+02:00,7410,100.0
5,89007V625589,2021-08-06T00:00:00+02:00,7403,100.0
6,89007V625589,2021-08-07T00:00:00+02:00,4991,100.0
7,89007V625589,2021-08-08T00:00:00+02:00,4858,100.0
8,61394V604898,2021-08-01T00:00:00+02:00,7253,100.0
9,61394V604898,2021-08-02T00:00:00+02:00,14418,100.0
10,61394V604898,2021-08-03T00:00:00+02:00,14036,100.0
11,61394V604898,2021-08-04T00:00:00+02:00,14177,100.0
12,61394V604898,2021-08-05T00:00:00+02:00,14161,100.0
13,61394V604898,2021-08-06T00:00:00+02:00,13661,100.0
14,61394V604898,2021-08-07T00:00:00+02:00,9408,100.0
15,61394V604898,2021-08-08T00:00:00+02:00,8179,100.0
16,78505V2312159,2021-08-01T00:00:00+02:00,3301,100.0
17,78505V2312159,2021-08-02T00:00:00+02:00,7439,100.0
18,78505V2312159,2021-08-03T00:00:00+02:00,7376,100.0
19,78505V2312159,2021-08-04T00:00:00+02:00,7410,100.0
20,78505V2312159,2021-08-05T00:00:00+02:00,7520,100.0
21,78505V2312159,2021-08-06T00:00:00+02:00,7165,100.0
22,78505V2312159,2021-08-07T00:00:00+02:00,4000,100.0
23,78505V2312159,2021-08-08T00:00:00+02:00,3846,100.0
24,20937V625367,2021-08-01T00:00:00+02:00,9622,100.0
25,20937V625367,2021-08-02T00:00:00+02:00,12320,100.0
26,20937V625367,2021-08-03T00:00:00+02:00,12267,100.0
27,20937V625367,2021-08-04T00:00:00+02:00,12558,100.0
28,20937V625367,2021-08-05T00:00:00+02:00,12959,100.0
29,20937V625367,2021-08-06T00:00:00+02:00,12724,100.0
30,20937V625367,2021-08-07T00:00:00+02:00,10396,100.0
31,20937V625367,2021-08-08T00:00:00+02:00,10737,100.0
32,73388V3243445,2021-08-01T00:00:00+02:00,28683,100.0
33,73388V3243445,2021-08-02T00:00:00+02:00,37239,100.0
34,73388V3243445,2021-08-03T00:00:00+02:00,39157,100.0
35,73388V3243445,2021-08-04T00:00:00+02:00,40424,100.0
36,73388V3243445,2021-08-05T00:00:00+02:00,41079,100.0
37,73388V3243445,2021-08-06T00:00:00+02:00,39823,100.0
38,73388V3243445,2021-08-07T00:00:00+02:00,31866,100.0
39,73388V3243445,2021-08-08T00:00:00+02:00,33052,100.0
40,10254V625614,2021-08-01T00:00:00+02:00,918,100.0
41,10254V625614,2021-08-02T00:00:00+02:00,6259,100.0
42,10254V625614,2021-08-03T00:00:00+02:00,6536,100.0
43,10254V625614,2021-08-04T00:00:00+02:00,6488,100.0
44,10254V625614,2021-08-05T00:00:00+02:00,6555,100.0
45,10254V625614,2021-08-06T00:00:00+02:00,6611,100.0
46,10254V625614,2021-08-07T00:00:00+02:00,1300,100.0
47,10254V625614,2021-08-08T00:00:00+02:00,1091,100.0
48,39940V625245,2021-08-01T00:00:00+02:00,604,100.0
49,39940V625245,2021-08-02T00:00:00+02:00,934,100.0
50,39940V625245,2021-08-03T00:00:00+02:00,951,100.0
51,39940V625245,2021-08-04T00:00:00+02:00,842,100.0
52,39940V625245,2021-08-05T00:00:00+02:00,970,100.0
53,39940V625245,2021-08-06T00:00:00+02:00,899,100.0
54,39940V625245,2021-08-07T00:00:00+02:00,680,100.0
55,39940V625245,2021-08-08T00:00:00+02:00,665,100.0
56,84967V625637,2021-08-01T00:00:00+02:00,3930,100.0
57,84967V625637,2021-08-02T00:00:00+02:00,6549,100.0
58,84967V625637,2021-08-03T00:00:00+02:00,6435,100.0
59,84967V625637,2021-08-04T00:00:00+02:00,6428,100.0
60,84967V625637,2021-08-05T00:00:00+02:00,6530,100.0
61,84967V625637,2021-08-06T00:00:00+02:00,6450,100.0
62,84967V625637,2021-08-07T00:00:00+02:00,3979,100.0
63,84967V625637,2021-08-08T00:00:00+02:00,4594,100.0
64,24764V625406,2021-08-01T00:00:00+02:00,31873,87.5
65,24764V625406,2021-08-02T00:00:00+02:00,48320,100.0
66,24764V625406,2021-08-03T00:00:00+02:00,48176,100.0
67,24764V625406,2021-08-04T00:00:00+02:00,49380,100.0
68,24764V625406,2021-08-05T00:00:00+02:00,50306,100.0
69,24764V625406,2021-08-06T00:00:00+02:00,48793,100.0
70,24764V625406,2021-08-07T00:00:00+02:00,37837,100.0
71,24764V625406,2021-08-08T00:00:00+02:00,38507,100.0
72,42546V625326,2021-08-01T00:00:00+02:00,4479,100.0
73,42546V625326,2021-08-02T00:00:00+02:00,7334,100.0
74,42546V625326,2021-08-03T00:00:00+02:00,7783,100.0
75,42546V625326,2021-08-04T00:00:00+02:00,7844,100.0
76,42546V625326,2021-08-05T00:00:00+02:00,7869,100.0
77,42546V625326,2021-08-06T00:00:00+02:00,7769,100.0
78,42546V625326,2021-08-07T00:00:00+02:00,6271,100.0
79,42546V625326,2021-08-08T00:00:00+02:00,5532,100.0
80,41275V625443,2021-08-01T00:00:00+02:00,4652,100.0
81,41275V625443,2021-08-02T00:00:00+02:00,6564,100.0
82,41275V625443,2021-08-03T00:00:00+02:00,6555,100.0
83,41275V625443,2021-08-04T00:00:00+02:00,6599,100.0
84,41275V625443,2021-08-05T00:00:00+02:00,6847,100.0
85,41275V625443,2021-08-06T00:00:00+02:00,6610,100.0
86,41275V625443,2021-08-07T00:00:00+02:00,5318,100.0
87,41275V625443,2021-08-08T00:00:00+02:00,5503,100.0
88,73125V3145673,2021-08-01T00:00:00+02:00,988,100.0
89,73125V3145673,2021-08-02T00:00:00+02:00,1726,100.0
90,73125V3145673,2021-08-03T00:00:00+02:00,1702,100.0
91,73125V3145673,2021-08-04T00:00:00+02:00,1699,100.0
92,73125V3145673,2021-08-05T00:00:00+02:00,1725,100.0
93,73125V3145673,2021-08-06T00:00:00+02:00,1650,100.0
94,73125V3145673,2021-08-07T00:00:00+02:00,1199,100.0
95,73125V3145673,2021-08-08T00:00:00+02:00,1082,100.0
96,16477V625646,2021-08-01T00:00:00+02:00,15160,100.0
97,16477V625646,2021-08-02T00:00:00+02:00,25355,100.0
98,16477V625646,2021-08-03T00:00:00+02:00,24972,100.0
99,16477V625646,2021-08-04T00:00:00+02:00,25261,100.0
100,16477V625646,2021-08-05T00:00:00+02:00,26182,100.0
101,16477V625646,2021-08-06T00:00:00+02:00,24969,100.0
102,16477V625646,2021-08-07T00:00:00+02:00,18539,100.0
103,16477V625646,2021-08-08T00:00:00+02:00,16982,100.0
104,07144V625582,2021-08-01T00:00:00+02:00,11910,100.0
105,07144V625582,2021-08-02T00:00:00+02:00,16672,100.0
106,07144V625582,2021-08-03T00:00:00+02:00,16551,99.84
107,07144V625582,2021-08-04T00:00:00+02:00,16842,100.0
108,07144V625582,2021-08-05T00:00:00+02:00,17176,100.0
109,07144V625582,2021-08-06T00:00:00+02:00,17086,100.0
110,07144V625582,2021-08-07T00:00:00+02:00,14434,100.0
111,07144V625582,2021-08-08T00:00:00+02:00,13824,100.0
112,70429B619257,2021-08-01T00:00:00+02:00,954,100.0
113,70429B619257,2021-08-02T00:00:00+02:00,3203,100.0
114,70429B619257,2021-08-03T00:00:00+02:00,3128,100.0
115,70429B619257,2021-08-04T00:00:00+02:00,3119,100.0
116,70429B619257,2021-08-05T00:00:00+02:00,3014,100.0
117,70429B619257,2021-08-06T00:00:00+02:00,2349,100.0
118,70429B619257,2021-08-07T00:00:00+02:00,1545,100.0
119,70429B619257,2021-08-08T00:00:00+02:00,2332,100.0
120,43746V625550,2021-08-01T00:00:00+02:00,1163,100.0
121,43746V625550,2021-08-02T00:00:00+02:00,2430,100.0
122,43746V625550,2021-08-03T00:00:00+02:00,2455,100.0
123,43746V625550,2021-08-04T00:00:00+02:00,2383,100.0
124,43746V625550,2021-08-05T00:00:00+02:00,2516,100.0
125,43746V625550,2021-08-06T00:00:00+02:00,2456,100.0
126,43746V625550,2021-08-07T00:00:00+02:00,1259,100.0
127,43746V625550,2021-08-08T00:00:00+02:00,1234,100.0
128,79854V625215,2021-08-01T00:00:00+02:00,47524,100.0
129,79854V625215,2021-08-02T00:00:00+02:00,53732,100.0
130,79854V625215,2021-08-03T00:00:00+02:00,50539,100.0
131,79854V625215,2021-08-04T00:00:00+02:00,51890,100.0
132,79854V625215,2021-08-05T00:00:00+02:00,54008,100.0
133,79854V625215,2021-08-06T00:00:00+02:00,56896,100.0
134,79854V625215,2021-08-07T00:00:00+02:00,43128,100.0
135,79854V625215,2021-08-08T00:00:00+02:00,49361,100.0
136,68441V625561,2021-08-01T00:00:00+02:00,4692,100.0
137,68441V625561,2021-08-02T00:00:00+02:00,7684,100.0
138,68441V625561,2021-08-03T00:00:00+02:00,7691,100.0
139,68441V625561,2021-08-04T00:00:00+02:00,7555,100.0
140,68441V625561,2021-08-05T00:00:00+02:00,7768,100.0
141,68441V625561,2021-08-06T00:00:00+02:00,8069,100.0
142,68441V625561,2021-08-07T00:00:00+02:00,6450,100.0
143,68441V625561,2021-08-08T00:00:00+02:00,5056,100.0
144,94543V2783687,2021-08-01T00:00:00+02:00,17628,100.0
145,94543V2783687,2021-08-02T00:00:00+02:00,27980,100.0
146,94543V2783687,2021-08-03T00:00:00+02:00,28037,100.0
147,94543V2783687,2021-08-04T00:00:00+02:00,28387,100.0
148,94543V2783687,2021-08-05T00:00:00+02:00,28738,100.0
149,94543V2783687,2021-08-06T00:00:00+02:00,27959,100.0
150,94543V2783687,2021-08-07T00:00:00+02:00,20090,100.0
151,94543V2783687,2021-08-08T00:00:00+02:00,20772,100.0
152,66549V625612,2021-08-01T00:00:00+02:00,9759,100.0
153,66549V625612,2021-08-02T00:00:00+02:00,28577,100.0
154,66549V625612,2021-08-03T00:00:00+02:00,27605,100.0
155,66549V625612,2021-08-04T00:00:00+02:00,27520,100.0
156,66549V625612,2021-08-05T00:00:00+02:00,27640,100.0
157,66549V625612,2021-08-06T00:00:00+02:00,26631,100.0
158,66549V625612,2021-08-07T00:00:00+02:00,18093,100.0
159,66549V625612,2021-08-08T00:00:00+02:00,10886,100.0
160,82177V625405,2021-08-01T00:00:00+02:00,33264,100.0
161,82177V625405,2021-08-02T00:00:00+02:00,49394,100.0
162,82177V625405,2021-08-03T00:00:00+02:00,49174,100.0
