sk_id,id,name,lat,lon
0,89007V625589,Helsfyr rampe mot sentrum,59.911857,10.796445
1,61394V604898,Nedre Kaldbakkvei,59.945301,10.862771
2,78505V2312159,Lørentunell rampe fra Rv163,59.930771,10.802359
3,20937V625367,Rv 4 Bjerke Nordgående ,59.942608,10.809352
4,73388V3243445,FILIPSTAD ØSTGÅENDE,59.909941,10.717488
5,10254V625614,Rv 191 Alfasetveien,59.936067,10.85758
6,39940V625245,Avrampe til Sandstuveien,59.88792,10.80755
7,84967V625637,Ø.Akersvei rampe mot Haugenstua,59.948869,10.946845
8,61416V625236,E6 Skullerud Av/Pårampe Nordgående,59.862445,10.831039
9,09259V625604,E6 Lodalen Rampe Sentrum Lodalen,59.902902,10.782982
10,24764V625406,SMESTAD BRANNSTASJON,59.933685,10.673027
11,42546V625326,FILIPSTAD VESTGÅENDE RAMPE,59.910219,10.71745
12,04477V625649,E6 Alnabru Sydgående Furuset Helsfyr,59.923406,10.830461
13,41275V625443,Gaustad rampe fra Ullevål,59.946207,10.713135
14,25348V625498,Vækerøveien v/Ullernchaussen ,59.925897,10.641032
15,73125V3145673,E6 Teisen pårampe fra Bryn,59.915089,10.814465
16,16477V625646,Karihaugen rampe mot Skårer,59.939205,10.926731
17,72406V625599,E6 Lodalen Rampe Helsfyr Lodalen,59.903089,10.782418
18,07144V625582,Sørkedalsveien,59.934471,10.697955
19,70429B619257,FROGNERST.SYKKEL 03,59.911168,10.704072
20,43746V625550,Grorud rampe mot Økern,59.950656,10.885272
21,79854V625215,E6 V/KARIHAUGEN,59.940023,10.933963
22,68441V625561,Av- og pårampe Haugenstua,59.951724,10.921578
23,94543V2783687,Tåsentunellen Vestgående Løp,59.951217,10.74056
24,66549V625612,Rv 191 Furuset,59.931428,10.861644
25,82177V625405,"Gaustad",59.946013,10.713019
26,03375V625405,Rv 150 Ulvensplitten,59.922586,10.807645
27,20927V625367,Rv 4 Bjerke Sydgående ,59.942606,10.809335
28,56971V625377,PÅKJ. TIL RV 4,59.942955,10.812438
29,87424V625212,E6 Sandstuveien Sydgående,59.887855,10.807435
30,12723V3243442,FILIPSTAD VESTGÅENDE,59.910087,10.717578
31,27193V2516106,Pårampe fra Sandstuveien,59.888731,10.807013
32,89041V625265,E6 Ulvensplitten Rampe Økern Alnabru,59.922799,10.809022
33,22791V625367,Bjerke,59.943089,10.81252
34,90697V625213,E6 Alnabru Nordgående Ulven Furuset,59.922795,10.828958
35,99353V625530,"Ø.Akersvei",59.948419,10.947038
36,91158V625541,Rv 163 Brobekk Nordgående Pårampe,59.932714,10.82807
37,83502V625530,Rv 163 Haugenstua Vestgående,59.952343,10.921478
38,71608V603756,Bygdøy alle ,59.919245,10.696369
39,89040V2545188,"Kongshavn",59.895687,10.756999
40,55912B613537,Lysaker Sykkel,59.913212,10.641612
41,38023V625278,E6 Furuset Nord Avrampe,59.935651,10.884341
42,47635V625643,Rampe til Storo,59.941377,10.781504
43,11462V625377,Rv 4 Bjerke Nordgående Pårampe,59.942538,10.810458
44,05185V2783689,Tåsentunellen Østgående Løp,59.951082,10.740503
45,73166V2312244,Økerntunellen mot Grorud Datter,59.929288,10.803578
46,26182V625276,E6 Pårampe fra Lindeberg,59.929392,10.865232
47,22325V625540,Rv 163 Brobekk Sydgående Pårampe,59.933058,10.826961
48,39870V2312216,LØREN,59.933529,10.799217
49,30017V625457,Avrampe mot Ullern,59.928132,10.656931
50,20690V625530,Rv 163 Brobekk Sydgående,59.932864,10.828167
51,12707V625214,E6 Alnabru Sydgående Furuset Ulven,59.923599,10.830182
52,33456V625213,E6 Bryn,59.90946,10.819031
53,52688V625649,E6 Lodalen Helsfyr mot Sentrum,59.902979,10.782776
